#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
02,"Johnson, TY",26,26,866,33.3,185,476,.389,27,105,.257,159,203,.783,556,21.4,25,94,119,4.6,61,67,102,61,4,View Bio
08,"Tamba, Pablo",26,26,699,26.9,109,178,.612,3,14,.214,58,92,.630,279,10.7,35,95,130,5.0,69,28,59,28,21,View Bio
04,"Sevilla, Connor",26,18,735,28.3,74,191,.387,51,137,.372,35,36,.972,234,9.0,12,28,40,1.5,42,24,22,12,0,View Bio
10,"DeBruhl, Leo",26,26,748,28.8,69,197,.350,32,91,.352,51,60,.850,221,8.5,22,79,101,3.9,62,79,63,37,1,View Bio
07,"Rocak, Niko",26,23,663,25.5,48,92,.522,9,25,.360,42,59,.712,147,5.7,59,131,190,7.3,79,38,40,22,54,View Bio
01,"01 Daughtery Jr., Carl",26,1,450,17.3,44,132,.333,19,64,.297,21,29,.724,128,4.9,12,34,46,1.8,34,10,13,11,0,View Bio
36,"Cooper, Nils",24,3,419,17.5,34,68,.500,1,10,.100,30,40,.750,99,4.1,32,47,79,3.3,41,16,11,12,3,View Bio
20,"Chappell, Isaiah",21,0,199,9.5,18,47,.383,9,29,.310,4,8,.500,49,2.3,8,23,31,1.5,28,3,10,8,1,View Bio
11,"Mani, Jac",9,0,52,5.8,7,16,.438,3,9,.333,3,6,.500,20,2.2,3,9,12,1.3,15,1,1,0,1,View Bio
25,"Prongos, Lukas",1,0,6,6.0,1,2,.500,0,0,.000,0,0,.000,2,2.0,1,1,2,2.0,0,0,1,0,0,View Bio
06,"Sangster, Derek",7,0,33,4.7,4,11,.364,1,4,.250,3,4,.750,12,1.7,1,3,4,0.6,2,1,1,0,2,View Bio
44,"Unuakhalu, Jamaal",6,0,30,5.0,4,11,.364,1,3,.333,1,2,.500,10,1.7,6,5,11,1.8,3,0,1,0,3,View Bio
22,"Lose, Sione",21,7,322,15.3,7,27,.259,1,4,.250,13,21,.619,28,1.3,14,27,41,2.0,34,20,19,14,5,View Bio
05,"Roberson, Marsalis",1,0,3,3.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
TM,TM Team,26,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,43,43,86,3.3,0,0,15,0,0,
,Total,26,,5225,201.0,604,1448,.417,157,495,.317,420,560,.750,1785,68.65,273,619,892,34.3,470,287,358,205,95,
,Opponents,26,,5225,201.0,604,1457,.415,185,550,.336,400,539,.742,1793,68.96,303,636,939,36.1,499,336,402,182,63,
